Año,Mes,Empresa agrupada,Origen aeropuerto,Destino aeropuerto,Origen provincia,Vuelos,Pasajeros,Asientos
2025,Enero,Andes Líneas Aéreas,Aeropuerto Int. Ingeniero Ambrosio Taravella,Aeropuerto Int. Tte. Luis Candelaria,Córdoba,13,1550,2363
2025,Enero,Andes Líneas Aéreas,Aeropuerto Int. Tte. Luis Candelaria,Aeropuerto Int. Ministro Pistarini,Río Negro,5,860,945
2025,Enero,Andes Líneas Aéreas,Aeropuerto Int. Tte. Luis Candelaria,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Río Negro,2,361,378
2025,Enero,Andes Líneas Aéreas,Aeropuerto Int. Ministro Pistarini,Aeropuerto Int. Ingeniero Ambrosio Taravella,Buenos Aires,5,185,945
2025,Enero,Copa Airlines,Aeropuerto Int. de Rosario Islas Malvinas,Aeropuerto Int. Ingeniero Ambrosio Taravella,Santa Fe,1,31,77
2025,Enero,Aerolíneas Argentinas,Gral. Urquiza,Aeroparque Jorge Newbery,Entre Ríos,22,1674,2064
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. de Rosario Islas Malvinas,Aeroparque Jorge Newbery,Santa Fe,72,5606,10219
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. de Rosario Islas Malvinas,Aeropuerto Int. Tte. Luis Candelaria,Santa Fe,11,1475,1804
2025,Enero,Aerolíneas Argentinas,Aeropuerto de Sauce Viejo,Aeroparque Jorge Newbery,Santa Fe,32,2480,3109
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Gral. Urquiza,Ciudad Autónoma de Buenos Aires,22,1589,2112
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Aeropuerto Int. de Rosario Islas Malvinas,Ciudad Autónoma de Buenos Aires,74,5694,10497
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Aeropuerto de Sauce Viejo,Ciudad Autónoma de Buenos Aires,32,2086,3024
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Aeropuerto Int. Ingeniero Ambrosio Taravella,Ciudad Autónoma de Buenos Aires,251,26872,33198
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Ciudad Autónoma de Buenos Aires,215,20771,24941
