Año,Mes,Empresa agrupada,Origen aeropuerto,Destino aeropuerto,Origen país,Origen localidad,Vuelos,Pasajeros,Asientos
2025,Enero,Aerolíneas Argentinas,Miami International Airport,Aeropuerto Int. Ministro Pistarini,Estados Unidos,Miami,63,12770,16903
2025,Enero,Aerolíneas Argentinas,Punta Cana International Airport,Aeropuerto Int. Ministro Pistarini,República Dominicana,Punta Cana,28,5968,7503
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Hercílio Luz International Airport,Argentina,Buenos Aires,85,13804,14494
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Rio Galeão – Tom Jobim International Airport,Argentina,Buenos Aires,148,24273,25590
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Guarulhos - Governador André Franco Montoro International Airport,Argentina,Buenos Aires,100,15511,16981
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Porto Seguro Airport,Argentina,Buenos Aires,9,1480,1608
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Comodoro Arturo Merino Benítez International Airport,Argentina,Buenos Aires,69,10011,11724
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,El Dorado International Airport,Argentina,Buenos Aires,27,3085,3456
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Viru Viru International Airport,Argentina,Buenos Aires,20,1771,2097
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Jorge Chávez International Airport,Argentina,Buenos Aires,27,4305,4670
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Capitan Corbeta CA Curbelo International Airport/Laguna del Sauce,Argentina,Buenos Aires,105,10522,14447
2025,Enero,Aerolíneas Argentinas,Aeroparque Jorge Newbery,Carrasco International /General C L Berisso Airport,Argentina,Buenos Aires,62,5877,7862
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ingeniero Ambrosio Taravella,Punta Cana International Airport,Argentina,Córdoba,18,2598,3090
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ingeniero Ambrosio Taravella,Hercílio Luz International Airport,Argentina,Córdoba,14,2298,2380
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ingeniero Ambrosio Taravella,Rio Galeão – Tom Jobim International Airport,Argentina,Córdoba,21,3532,3669
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Miami International Airport,Argentina,Buenos Aires,61,15768,16363
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Adolfo Suárez Madrid–Barajas Airport,Argentina,Buenos Aires,45,11918,12042
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Punta Cana International Airport,Argentina,Buenos Aires,29,7355,7772
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Cancún International Airport,Argentina,Buenos Aires,25,6589,6703
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Ministro Pistarini,Carrasco International /General C L Berisso Airport,Argentina,Buenos Aires,1,6,96
2025,Enero,Aerolíneas Argentinas,Hercílio Luz International Airport,Aeroparque Jorge Newbery,Brasil,Florianópolis,91,11769,15566
2025,Enero,Aerolíneas Argentinas,Rio Galeão – Tom Jobim International Airport,Aeroparque Jorge Newbery,Brasil,Río de Janeiro,145,21077,25061
2025,Enero,Aerolíneas Argentinas,Rio Galeão – Tom Jobim International Airport,Aeropuerto Int. Ingeniero Ambrosio Taravella,Brasil,Río de Janeiro,22,3197,3810
2025,Enero,Aerolíneas Argentinas,Guarulhos - Governador André Franco Montoro International Airport,Aeroparque Jorge Newbery,Brasil,São Paulo,103,11607,17581
2025,Enero,Aerolíneas Argentinas,Capitan Corbeta CA Curbelo International Airport/Laguna del Sauce,Aeroparque Jorge Newbery,Uruguay,Punta del Este,102,11768,13979
2025,Enero,Aeroméxico,Licenciado Benito Juarez International Airport,Aeropuerto Int. Ministro Pistarini,México,México DF,35,7362,9466
2025,Enero,Aeroméxico,Aeropuerto Int. Ministro Pistarini,Licenciado Benito Juarez International Airport,Argentina,Buenos Aires,34,8974,9192
2025,Enero,Aerovías DAP,Tte. Julio Gallardo Airport,Aeropuerto Comte. Armando Tola,Chile,Puerto Natales,2,7,7
2025,Enero,Air Canada,Aeropuerto Int. Ministro Pistarini,Guarulhos - Governador André Franco Montoro International Airport,Argentina,Buenos Aires,30,8504,8940
2025,Enero,Air Canada,Guarulhos - Governador André Franco Montoro International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,São Paulo,31,7044,9238
2025,Enero,Air Europa,Adolfo Suárez Madrid–Barajas Airport,Aeropuerto Int. Ministro Pistarini,España,Madrid,28,8749,9486
2025,Enero,Air Europa,Aeropuerto Int. Ministro Pistarini,Adolfo Suárez Madrid–Barajas Airport,Argentina,Buenos Aires,30,9683,10164
2025,Enero,Aerolíneas Argentinas,Comodoro Arturo Merino Benítez International Airport,Aeroparque Jorge Newbery,Chile,Santiago,68,8953,11521
2025,Enero,Air France,Charles de Gaulle International Airport,Aeropuerto Int. Ministro Pistarini,Francia,París,26,7302,8248
2025,Enero,Air France,Aeropuerto Int. Ministro Pistarini,Charles de Gaulle International Airport,Argentina,Buenos Aires,31,9381,9724
2025,Enero,American Airlines,Dallas Fort Worth International Airport,Aeropuerto Int. Ministro Pistarini,Estados Unidos,Dallas-Fort Worth,30,6588,8262
2025,Enero,American Airlines,John F Kennedy International Airport,Aeropuerto Int. Ministro Pistarini,Estados Unidos,Nueva York,29,6529,8886
2025,Enero,American Airlines,Miami International Airport,Aeropuerto Int. Ministro Pistarini,Estados Unidos,Miami,88,20971,23899
2025,Enero,American Airlines,Aeropuerto Int. Ministro Pistarini,Dallas Fort Worth International Airport,Argentina,Buenos Aires,31,7864,8564
2025,Enero,American Airlines,Aeropuerto Int. Ministro Pistarini,Miami International Airport,Argentina,Buenos Aires,87,22902,23700
2025,Enero,Arajet,Punta Cana International Airport,Aeropuerto Int. Ministro Pistarini,República Dominicana,Punta Cana,34,4820,6370
2025,Enero,Arajet,Aeropuerto Int. Ministro Pistarini,Punta Cana International Airport,Argentina,Buenos Aires,34,5521,6370
2025,Enero,Avianca,Aeropuerto Int. Ministro Pistarini,El Dorado International Airport,Argentina,Buenos Aires,63,13930,14706
2025,Enero,Avianca,Aeropuerto Int. Ministro Pistarini,José María Córdova International Airport,Argentina,Buenos Aires,31,5056,5636
2025,Enero,Avianca,El Dorado International Airport,Aeropuerto Int. Ministro Pistarini,Colombia,Bogotá,59,12613,13732
2025,Enero,Avianca,José María Córdova International Airport,Aeropuerto Int. Ministro Pistarini,Colombia,Medellín,29,3791,5330
2025,Enero,Avianca,Aeropuerto Int. Ministro Pistarini,José Joaquín de Olmedo International Airport,Argentina,Buenos Aires,20,3344,3438
2025,Enero,Avianca,José Joaquín de Olmedo International Airport,Aeropuerto Int. Ministro Pistarini,Ecuador,Guayaquil,20,2774,3438
2025,Enero,Boliviana de Aviación,Aeropuerto Int. Ministro Pistarini,Viru Viru International Airport,Argentina,Buenos Aires,52,8667,9180
2025,Enero,Boliviana de Aviación,Viru Viru International Airport,Aeropuerto Int. Ministro Pistarini,Bolivia,Santa Cruz de la Sierra,54,8397,9615
2025,Enero,British Airways,Aeropuerto Int. Ministro Pistarini,Rio Galeão – Tom Jobim International Airport,Argentina,Buenos Aires,31,9976,10261
2025,Enero,British Airways,Rio Galeão – Tom Jobim International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,Río de Janeiro,28,8572,9268
2025,Enero,Copa Airlines,Tocumen International Airport,Aeropuerto Int. de Rosario Islas Malvinas,Panamá,Panamá,43,5588,6712
2025,Enero,Copa Airlines,Tocumen International Airport,Aeropuerto Int. Ingeniero Ambrosio Taravella,Panamá,Panamá,69,9037,10646
2025,Enero,Copa Airlines,Tocumen International Airport,Aeropuerto Int. Ministro Pistarini,Panamá,Panamá,151,20450,25204
2025,Enero,Copa Airlines,Aeropuerto Int. de Rosario Islas Malvinas,Tocumen International Airport,Argentina,Rosario,43,6292,6712
2025,Enero,Copa Airlines,Aeropuerto Int. Ingeniero Ambrosio Taravella,Tocumen International Airport,Argentina,Córdoba,69,10317,10646
2025,Enero,Copa Airlines,Aeropuerto Int. Ministro Pistarini,Tocumen International Airport,Argentina,Buenos Aires,151,24460,25202
2025,Enero,Delta Air Lines,Hartsfield Jackson Atlanta International Airport,Aeropuerto Int. Ministro Pistarini,Estados Unidos,Atlanta,41,9267,11677
2025,Enero,Delta Air Lines,John F Kennedy International Airport,Aeropuerto Int. Ministro Pistarini,Estados Unidos,Nueva York,22,4691,6194
2025,Enero,Delta Air Lines,Aeropuerto Int. Ministro Pistarini,Hartsfield Jackson Atlanta International Airport,Argentina,Buenos Aires,44,12021,12532
2025,Enero,Delta Air Lines,Aeropuerto Int. Ministro Pistarini,John F Kennedy International Airport,Argentina,Buenos Aires,31,8481,8723
2025,Enero,Emirates Airline,Aeropuerto Int. Ministro Pistarini,Rio Galeão – Tom Jobim International Airport,Argentina,Buenos Aires,22,6729,7790
2025,Enero,Emirates Airline,Rio Galeão – Tom Jobim International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,Río de Janeiro,17,4361,6020
2025,Enero,Ethiopian Airlines,Aeropuerto Int. Ministro Pistarini,Guarulhos - Governador André Franco Montoro International Airport,Argentina,Buenos Aires,29,8517,9309
2025,Enero,Ethiopian Airlines,Guarulhos - Governador André Franco Montoro International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,São Paulo,23,5012,7383
2025,Enero,Flybondi,Aeroparque Jorge Newbery,Rio Galeão – Tom Jobim International Airport,Argentina,Buenos Aires,22,3973,4149
2025,Enero,Flybondi,Aeropuerto Int. Ministro Pistarini,Hercílio Luz International Airport,Argentina,Buenos Aires,50,8669,9324
2025,Enero,Flybondi,Aeropuerto Int. Ministro Pistarini,Rio Galeão – Tom Jobim International Airport,Argentina,Buenos Aires,69,12386,12816
2025,Enero,Flybondi,Hercílio Luz International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,Florianópolis,32,4933,5976
2025,Enero,Flybondi,Rio Galeão – Tom Jobim International Airport,Aeroparque Jorge Newbery,Brasil,Río de Janeiro,29,4624,5472
2025,Enero,Flybondi,Rio Galeão – Tom Jobim International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,Río de Janeiro,56,8534,10386
2025,Enero,Gol Transportes Aéreos,Aeroparque Jorge Newbery,Hercílio Luz International Airport,Argentina,Buenos Aires,29,4810,5307
2025,Enero,Gol Transportes Aéreos,Aeroparque Jorge Newbery,Guarulhos - Governador André Franco Montoro International Airport,Argentina,Buenos Aires,117,20130,21501
