Año;Día;Mes;Localidad origen;Provincia origen;Localidad destino;Provincia destino;Servicios;Pasajeros;Asientos;Tipo
2019;4;4;Mendoza;Mendoza;Otros destinos;Mendoza;1;60;60;SERVICIOS DE TURISMO
2019;5;4;25 de Mayo;La Pampa;Maipú;Mendoza;1;10;19;SERVICIOS DE TURISMO
2019;5;4;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;Mendoza;Mendoza;1;39;58;SERVICIOS DE TURISMO
2019;5;4;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;San Rafael;Mendoza;1;34;58;SERVICIOS DE TURISMO
2019;5;4;San Juan;San Juan;Otros destinos;Mendoza;1;8;15;SERVICIOS DE TURISMO
2019;6;4;Ezeiza;Buenos Aires;Capitán Montoya;Mendoza;1;1;15;SERVICIOS DE TURISMO
2019;6;4;Llavallol;Buenos Aires;San Rafael;Mendoza;1;40;62;SERVICIOS DE TURISMO
2019;6;4;Maipú;Mendoza;San Rafael;Mendoza;1;28;30;SERVICIOS DE TURISMO
2019;6;4;Otros destinos;San Juan;Mendoza;Mendoza;3;125;131;SERVICIOS DE TURISMO
2019;6;4;San Juan;San Juan;Mendoza;Mendoza;3;142;172;SERVICIOS DE TURISMO
2019;6;4;San Luis;San Luis;Mendoza;Mendoza;2;80;83;SERVICIOS DE TURISMO
2019;7;4;Córdoba;Córdoba;Godoy Cruz;Mendoza;1;56;56;SERVICIOS DE TURISMO
2019;7;4;Esquel;Chubut;Tunuyán;Mendoza;1;16;23;SERVICIOS DE TURISMO
2019;7;4;Luis Guillón;Buenos Aires;San Rafael;Mendoza;1;54;60;SERVICIOS DE TURISMO
2019;7;4;Otros destinos;San Juan;Mendoza;Mendoza;1;22;23;SERVICIOS DE TURISMO
2019;7;4;Otros destinos;San Juan;San Martín;Mendoza;1;43;45;SERVICIOS DE TURISMO
2019;7;4;Paraná;Entre Ríos;Mendoza;Mendoza;1;46;60;SERVICIOS DE TURISMO
2019;7;4;San Juan;San Juan;Mendoza;Mendoza;1;39;45;SERVICIOS DE TURISMO
2019;7;4;San Juan;San Juan;Otros destinos;Mendoza;1;34;45;SERVICIOS DE TURISMO
2019;7;4;San Luis;San Luis;San Martín;Mendoza;1;56;58;SERVICIOS DE TURISMO
2019;7;4;San Rafael;Mendoza;Las Leñas;Mendoza;1;61;62;SERVICIOS DE TURISMO
2019;8;4;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;Mendoza;Mendoza;1;9;19;SERVICIOS DE TURISMO
2019;8;4;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;San Rafael;Mendoza;1;60;62;SERVICIOS DE TURISMO
2019;8;4;Córdoba;Córdoba;Tunuyán;Mendoza;1;36;43;SERVICIOS DE TURISMO
2019;8;4;Esteban Echeverría;Buenos Aires;Mendoza;Mendoza;1;36;43;SERVICIOS DE TURISMO
