Año,Mes,Provincia origen,Provincia destino,Servicios,Pasajeros,Asientos
2019,1,Buenos Aires,Buenos Aires,5039,67197,263726
2019,1,Santa Fe,Formosa,212,1227,11626
2019,1,Chaco,Misiones,366,4090,20922
2019,1,Santa Fe,Córdoba,1875,32712,98509
2019,1,Ciudad Autónoma de Buenos Aires,Buenos Aires,7233,174359,309236
2019,1,Tucumán,Mendoza,100,1324,5532
2019,1,Buenos Aires,Santiago del Estero,639,6803,35219
2019,1,Neuquén,Neuquén,163,1350,4317
2019,1,Río Negro,Neuquén,1394,25626,66015
2019,1,Tucumán,Salta,664,8208,36463
2019,1,Ciudad Autónoma de Buenos Aires,Córdoba,1895,34825,92596
2019,1,Corrientes,Misiones,894,11749,47189
2019,1,Salta,Ciudad Autónoma de Buenos Aires,352,6055,18475
2019,1,Mendoza,Ciudad Autónoma de Buenos Aires,391,8780,19716
2019,1,Santiago del Estero,Salta,309,1897,16729
2019,1,Santa Fe,Entre Ríos,1012,14660,52312
2019,1,Buenos Aires,Corrientes,1336,13690,70081
2019,1,Buenos Aires,Río Negro,892,13712,44805
2019,1,Buenos Aires,Ciudad Autónoma de Buenos Aires,7016,162291,284243
2019,1,Río Negro,La Pampa,387,1313,19326
2019,1,Jujuy,Jujuy,633,10052,35568
2019,1,Salta,Jujuy,2221,33642,109019
2019,1,Río Negro,Buenos Aires,837,10854,41942
2019,1,Ciudad Autónoma de Buenos Aires,Jujuy,375,11275,20356
2019,1,Córdoba,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",7,199,298
2019,1,Entre Ríos,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",3,16,129
2019,1,Santa Fe,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",4,108,172
2019,1,Neuquén,Ciudad Autónoma de Buenos Aires,391,4191,18943
2019,1,Neuquén,Santa Fe,77,555,3926
2019,1,La Rioja,Corrientes,2,13,77
2019,1,Córdoba,Río Negro,276,4583,15433
2019,1,Santa Fe,Buenos Aires,2441,29924,127988
2019,1,San Juan,Ciudad Autónoma de Buenos Aires,111,2663,5860
2019,1,Buenos Aires,Entre Ríos,1928,21034,102948
2019,1,Santa Fe,Ciudad Autónoma de Buenos Aires,2668,35744,133007
2019,1,Buenos Aires,San Luis,596,9137,30688
2019,1,Ciudad Autónoma de Buenos Aires,San Luis,651,9184,32100
2019,1,Neuquén,Río Negro,1239,15930,60749
2019,1,Córdoba,Buenos Aires,1721,25354,88750
2019,1,Buenos Aires,Misiones,786,14919,39115
2019,1,Córdoba,Neuquén,146,1319,7825
2019,1,Mendoza,Buenos Aires,505,12259,27173
2019,1,Córdoba,Corrientes,255,2867,12250
2019,1,Santa Fe,Corrientes,702,6457,38173
2019,1,Chaco,Buenos Aires,727,5665,39917
2019,1,Buenos Aires,Córdoba,1811,33985,94628
2019,1,Mendoza,Santiago del Estero,3,122,182
