Año,Trimestre,País de residencia,Provincia visitada,Turistas no residentes*,Noches,Gasto en US$**,Casos Muestrales***
2019,1,Chile,Mendoza,42201,218761,9497748.8,621
2019,1,Resto del mundo,Mendoza,18605,128387,6927361.9,730
2019,2,Chile,Mendoza,29400,113104,5484291.8,652
2019,2,Resto del mundo,Mendoza,11544,65408,4342091.7,611
2019,3,Chile,Mendoza,33180,160255,6890280,950
2019,3,Resto del mundo,Mendoza,12629,93436,2998881.1,497
2019,4,Chile,Mendoza,46824,204550,10127739.8,725
2019,4,Resto del mundo,Mendoza,19484,109860,6944899.6,512
2020,1,Chile,Mendoza,54574,315262,13349509.9,853
2020,1,Resto del mundo,Mendoza,22384,116322,7143453,443
2021,4,Chile,Mendoza,1997,31143,721893.7,195
2021,4,Resto del mundo,Mendoza,138,361,42580.9,5
2022,1,Chile,Mendoza,12206,123744,4540699.3,971
2022,1,Resto del mundo,Mendoza,2433,19702,1010639.3,135
2022,2,Chile,Mendoza,22516,131849,6562727.3,789
2022,2,Resto del mundo,Mendoza,5005,32634,2649379,314
2022,3,Chile,Mendoza,21800,159129,6940321.7,917
2022,3,Resto del mundo,Mendoza,6069,32458,2519271.9,434
2022,4,Chile,Mendoza,48771,278885,13391495.3,1152
2022,4,Resto del mundo,Mendoza,8196,46905,4241832,357
2023,1,Chile,Mendoza,69298,402532,19750465.4,1241
2023,1,Resto del mundo,Mendoza,10955,61392,5461249.2,360
2023,2,Chile,Mendoza,64323,275221,18563448.2,1250
2023,2,Resto del mundo,Mendoza,7920,39660,3161068.3,223
2023,3,Chile,Mendoza,6791,54262,2369310.5,917
2023,3,Resto del mundo,Mendoza,4875,26890,1488427.7,225
2023,4,Chile,Mendoza,20794,107104,7044698.8,1218
2023,4,Resto del mundo,Mendoza,9494,49997,4300058.8,296
2024,1,Chile,Mendoza,25366,158306,6360207,1195
2024,1,Resto del mundo,Mendoza,12450,76586,5693085.4,343
2024,2,Chile,Mendoza,13184,86865,2900322.6,706
2024,2,Resto del mundo,Mendoza,5358,31346,2202948.4,282
2024,3,Chile,Mendoza,14422,95985,3009434.9,890
2024,3,Resto del mundo,Mendoza,6416,25981,1999592.2,371
2024,4,Chile,Mendoza,27100,145205,6526943.5,931
2024,4,Resto del mundo,Mendoza,12441,98886,6073410.8,356
2025,1,Chile,Mendoza,28543,179843,7028351.3,963
2025,1,Resto del mundo,Mendoza,13560,102388,6401616.7,403
2025,2,Chile,Mendoza,14426,98630,3190602.1,737
2025,2,Resto del mundo,Mendoza,7431,39940,2535860.6,253
2025,3,Chile,Mendoza,8081,53869,2007240.9,482
2025,3,Resto del mundo,Mendoza,3612,13130,1044123.2,209
