Año,Trimestre,País de residencia,Provincia visitada,Turistas no residentes*,Noches,Gasto en US$**,Casos Muestrales***
2019,1,Bolivia,Mendoza,115,1823,266722.1,3
2019,1,Brasil,Mendoza,6043,27049,3979814.2,100
2019,1,Chile,Mendoza,84,168,11220,1
2019,1,EE.UU. y Canadá,Mendoza,6158,54150,4246003.5,74
2019,1,Europa,Mendoza,13427,132527,9013586.7,182
2019,1,Paraguay,Mendoza,940,5322,570991.7,17
2019,1,Resto de América,Mendoza,2218,11345,1128576.8,34
2019,1,Resto del mundo,Mendoza,2883,20692,1161085.9,15
2019,1,Uruguay,Mendoza,322,2124,213603.2,6
2019,2,Bolivia,Mendoza,91,1127,46438.5,3
2019,2,Brasil,Mendoza,4150,20601,2918350.6,53
2019,2,Chile,Mendoza,470,2029,208750.1,8
2019,2,EE.UU. y Canadá,Mendoza,2424,16105,1573687.3,39
2019,2,Europa,Mendoza,9634,65527,5318234,170
2019,2,Paraguay,Mendoza,118,708,85775.1,2
2019,2,Resto de América,Mendoza,2570,17748,1231759.4,36
2019,2,Resto del mundo,Mendoza,1538,12374,5520510.5,9
2019,2,Uruguay,Mendoza,634,2646,159710.8,12
2019,3,Bolivia,Mendoza,197,6640,412800.4,5
2019,3,Brasil,Mendoza,7853,42295,4791095,105
2019,3,Chile,Mendoza,104,936,44496.6,2
2019,3,EE.UU. y Canadá,Mendoza,4824,29947,3113558.7,78
2019,3,Europa,Mendoza,8240,58977,3977155.4,146
2019,3,Paraguay,Mendoza,420,1580,163681.8,7
2019,3,Resto de América,Mendoza,2192,14264,786953.7,34
2019,3,Resto del mundo,Mendoza,691,4842,709910.1,4
2019,3,Uruguay,Mendoza,976,7971,429597.4,16
2019,4,Bolivia,Mendoza,33,231,18081.9,1
2019,4,Brasil,Mendoza,4996,23069,3269200,71
2019,4,Chile,Mendoza,276,812,37784.8,4
2019,4,EE.UU. y Canadá,Mendoza,4147,21109,2396265.4,50
2019,4,Europa,Mendoza,13066,88645,6679803.1,162
2019,4,Paraguay,Mendoza,613,2881,430481.7,11
2019,4,Resto de América,Mendoza,4261,63361,3038000.6,56
2019,4,Resto del mundo,Mendoza,2091,51435,2328419.7,11
2019,4,Uruguay,Mendoza,524,2725,377770.8,11
2020,1,Bolivia,Mendoza,276,1294,100709.6,5
2020,1,Brasil,Mendoza,5046,26497,4260297.1,74
2020,1,Chile,Mendoza,46,92,16954.3,1
2020,1,EE.UU. y Canadá,Mendoza,6037,40557,4108153.1,58
2020,1,Europa,Mendoza,13041,121180,8891446,130
2020,1,Paraguay,Mendoza,198,1054,93062.2,3
2020,1,Resto de América,Mendoza,3854,14003,1155029.2,51
2020,1,Resto del mundo,Mendoza,3290,11132,1463458.8,12
2020,1,Uruguay,Mendoza,166,772,131646.3,3
2021,1,Bolivia,Mendoza,28,392,7711.1,3
2021,1,Brasil,Mendoza,53,1430,37419.5,2
