Año,Trimestre,País de residencia,Provincia visitada,Turistas no residentes*,Noches,Gasto en US$**,Casos Muestrales***
2019,1,Resto del mundo,Mendoza,281,1409,130740.2,13
2019,1,Uruguay,Mendoza,269,1233,102994.8,7
2019,2,Resto del mundo,Mendoza,211,559,45224.5,4
2019,2,Uruguay,Mendoza,1077,7071,319389.9,13
2019,3,Resto del mundo,Mendoza,199,1193,80194.7,7
2019,3,Uruguay,Mendoza,1356,6725,461379.1,15
2019,4,Resto del mundo,Mendoza,211,1212,140949.1,24
2019,4,Uruguay,Mendoza,594,2941,260868.7,7
2020,1,Resto del mundo,Mendoza,273,1304,121007.6,22
2020,1,Uruguay,Mendoza,675,8952,2196303.7,22
2021,4,Resto del mundo,Mendoza,7,70,6908.3,1
2022,1,Resto del mundo,Mendoza,384,1170,135655.8,10
2022,1,Uruguay,Mendoza,351,4097,243080.8,6
2022,2,Resto del mundo,Mendoza,170,632,53865.6,4
2022,2,Uruguay,Mendoza,588,3117,343886.7,10
2022,3,Resto del mundo,Mendoza,386,2502,149829.6,6
2022,3,Uruguay,Mendoza,1066,5756,918322.4,19
2022,4,Resto del mundo,Mendoza,730,2862,1104750.8,11
2022,4,Uruguay,Mendoza,658,9646,1231051,7
2023,1,Resto del mundo,Mendoza,579,2259,370871.9,26
2023,1,Uruguay,Mendoza,744,4036,447358.8,15
2023,2,Resto del mundo,Mendoza,986,3960,829938,10
2023,2,Uruguay,Mendoza,1243,6579,507710.6,11
2023,3,Resto del mundo,Mendoza,703,2228,352799.6,10
2023,3,Uruguay,Mendoza,1879,9290,1001901.2,21
2023,4,Resto del mundo,Mendoza,1746,13029,1075452.1,15
2023,4,Uruguay,Mendoza,1338,9867,1102790,16
2024,1,Resto del mundo,Mendoza,1545,4781,492149.2,17
2024,1,Uruguay,Mendoza,898,8086,688280.5,8
2024,2,Resto del mundo,Mendoza,216,2172,196877.6,5
2024,2,Uruguay,Mendoza,628,3280,257780.9,15
2024,3,Resto del mundo,Mendoza,621,3338,332430.8,15
2024,3,Uruguay,Mendoza,1165,7179,560139.7,17
2024,4,Resto del mundo,Mendoza,854,2437,164878.9,8
2025,1,Resto del mundo,Mendoza,1125,3094,430722.9,6
2025,1,Uruguay,Mendoza,1129,8197,615013.8,13
2025,2,Resto del mundo,Mendoza,285,3186,68106.6,5
2025,2,Uruguay,Mendoza,810,5341,663343,13
2025,3,Resto del mundo,Mendoza,284,2120,97136.2,4
2025,3,Uruguay,Mendoza,570,2950,398170.4,6
