Año,Mes,tipo_visitante,Paso,País de residencia (agrup.),Viajes de turistas
2016,Enero,Turistas,Aeropuerto Mendoza,Bolivia,16
2016,Enero,Turistas,Aeropuerto Mendoza,Brasil,888
2016,Enero,Turistas,Aeropuerto Mendoza,Chile,1212
2016,Enero,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,1582.999999875
2016,Enero,Turistas,Aeropuerto Mendoza,Europa,1244
2016,Enero,Turistas,Aeropuerto Mendoza,Paraguay,2
2016,Enero,Turistas,Aeropuerto Mendoza,Resto de América,720.999999879
2016,Enero,Turistas,Aeropuerto Mendoza,Resto del mundo,239.00000010300002
2016,Enero,Turistas,Aeropuerto Mendoza,Uruguay,5
2016,Enero,Turistas,Paso Cristo Redentor,Bolivia,945.035
2016,Enero,Turistas,Paso Cristo Redentor,Brasil,3644.1275
2016,Enero,Turistas,Paso Cristo Redentor,Chile,27134.8124
2016,Enero,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,1003.47
2016,Enero,Turistas,Paso Cristo Redentor,Europa,3247.1725
2016,Enero,Turistas,Paso Cristo Redentor,Paraguay,716.3325
2016,Enero,Turistas,Paso Cristo Redentor,Resto de América,4497.48
2016,Enero,Turistas,Paso Cristo Redentor,Resto del mundo,687.115
2016,Enero,Turistas,Paso Cristo Redentor,Uruguay,674.0175
2016,Enero,Turistas,Paso Pehuenche,Bolivia,20.15
2016,Enero,Turistas,Paso Pehuenche,Brasil,55.4125
2016,Enero,Turistas,Paso Pehuenche,Chile,4083.4757999999997
2016,Enero,Turistas,Paso Pehuenche,EE.UU. y Canadá,45.337500000000006
2016,Enero,Turistas,Paso Pehuenche,Europa,165.23000000000002
2016,Enero,Turistas,Paso Pehuenche,Paraguay,17.1275
2016,Enero,Turistas,Paso Pehuenche,Resto de América,81.6075
2016,Enero,Turistas,Paso Pehuenche,Resto del mundo,26.195
2016,Enero,Turistas,Paso Pehuenche,Uruguay,38.285
2016,Enero,Turistas,Paso Vergara,Brasil,0.9048842591846297
2016,Enero,Turistas,Paso Vergara,Chile,186.65065149631357
2016,Enero,Turistas,Paso Vergara,Europa,6.001113404114891
2016,Enero,Turistas,Paso Vergara,Uruguay,1.9852216743673072
2016,Febrero,Turistas,Aeropuerto Mendoza,Bolivia,18
2016,Febrero,Turistas,Aeropuerto Mendoza,Brasil,853
2016,Febrero,Turistas,Aeropuerto Mendoza,Chile,2345
2016,Febrero,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,1061.000000262
2016,Febrero,Turistas,Aeropuerto Mendoza,Europa,810.999999603
2016,Febrero,Turistas,Aeropuerto Mendoza,Paraguay,8
2016,Febrero,Turistas,Aeropuerto Mendoza,Resto de América,653
2016,Febrero,Turistas,Aeropuerto Mendoza,Resto del mundo,196.99999995
2016,Febrero,Turistas,Aeropuerto Mendoza,Uruguay,15
2016,Febrero,Turistas,Paso Cristo Redentor,Bolivia,865.4425
2016,Febrero,Turistas,Paso Cristo Redentor,Brasil,1859.845
2016,Febrero,Turistas,Paso Cristo Redentor,Chile,37131.0181
2016,Febrero,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,815.0675
2016,Febrero,Turistas,Paso Cristo Redentor,Europa,2893.54
2016,Febrero,Turistas,Paso Cristo Redentor,Paraguay,521.885
2016,Febrero,Turistas,Paso Cristo Redentor,Resto de América,4239.5599999999995
2016,Febrero,Turistas,Paso Cristo Redentor,Resto del mundo,507.78
2016,Febrero,Turistas,Paso Cristo Redentor,Uruguay,610.545
2016,Febrero,Turistas,Paso Pehuenche,Bolivia,12.09
2016,Febrero,Turistas,Paso Pehuenche,Brasil,37.2775
2016,Febrero,Turistas,Paso Pehuenche,Chile,3896.2376
2016,Febrero,Turistas,Paso Pehuenche,EE.UU. y Canadá,24.18
2016,Febrero,Turistas,Paso Pehuenche,Europa,118.885
2016,Febrero,Turistas,Paso Pehuenche,Paraguay,17.1275
2016,Febrero,Turistas,Paso Pehuenche,Resto de América,44.330000000000005
2016,Febrero,Turistas,Paso Pehuenche,Resto del mundo,9.0675
2016,Febrero,Turistas,Paso Pehuenche,Uruguay,20.15
2016,Febrero,Turistas,Paso Portillo de Piuquenes,Chile,0.42196217138349
2016,Febrero,Turistas,Paso Vergara,Bolivia,1.988311258505
2016,Febrero,Turistas,Paso Vergara,Brasil,29.16180904704874
2016,Febrero,Turistas,Paso Vergara,Chile,198.15406139339908
2016,Febrero,Turistas,Paso Vergara,EE.UU. y Canadá,6.00140625279
2016,Febrero,Turistas,Paso Vergara,Europa,7.006495431255102
2016,Marzo,Turistas,Aeropuerto Mendoza,Bolivia,7
2016,Marzo,Turistas,Aeropuerto Mendoza,Brasil,944.000000315
2016,Marzo,Turistas,Aeropuerto Mendoza,Chile,1893.999999642
2016,Marzo,Turistas,Aeropuerto Mendoza,EE.UU. y Canadá,1247.000000031
2016,Marzo,Turistas,Aeropuerto Mendoza,Europa,804.00000002
2016,Marzo,Turistas,Aeropuerto Mendoza,Paraguay,23
2016,Marzo,Turistas,Aeropuerto Mendoza,Resto de América,580.000000139
2016,Marzo,Turistas,Aeropuerto Mendoza,Resto del mundo,220.000000104
2016,Marzo,Turistas,Aeropuerto Mendoza,Uruguay,17
2016,Marzo,Turistas,Paso Cristo Redentor,Bolivia,889.6225000000001
2016,Marzo,Turistas,Paso Cristo Redentor,Brasil,1289.6000000000001
2016,Marzo,Turistas,Paso Cristo Redentor,Chile,25995.6047
2016,Marzo,Turistas,Paso Cristo Redentor,EE.UU. y Canadá,1024.6275
2016,Marzo,Turistas,Paso Cristo Redentor,Europa,3283.4425
2016,Marzo,Turistas,Paso Cristo Redentor,Paraguay,316.355
2016,Marzo,Turistas,Paso Cristo Redentor,Resto de América,4226.4625
2016,Marzo,Turistas,Paso Cristo Redentor,Resto del mundo,533.975
2016,Marzo,Turistas,Paso Cristo Redentor,Uruguay,1087.0925
2016,Marzo,Turistas,Paso Pehuenche,Bolivia,4.03
2016,Marzo,Turistas,Paso Pehuenche,Brasil,5.0375
2016,Marzo,Turistas,Paso Pehuenche,Chile,1644.1197
2016,Marzo,Turistas,Paso Pehuenche,EE.UU. y Canadá,9.0675
2016,Marzo,Turistas,Paso Pehuenche,Europa,73.5475
2016,Marzo,Turistas,Paso Pehuenche,Paraguay,3.0225
